№,Секунда,Микросекунда
1,27,206043
2,27,216412
3,27,226915
4,27,237015
5,27,247551
6,27,257886
7,27,268335
8,27,278822
9,27,289159
10,27,299681
11,27,309857
12,27,320347
13,27,330832
14,27,340973
15,27,351432
16,27,361714
17,27,371878
18,27,382412
19,27,393142
20,27,403607
21,27,414063
22,27,424609
23,27,434952
24,27,445500
25,27,455711
26,27,466359
27,27,477030
28,27,487413
29,27,497923
30,27,508208
31,27,518414
32,27,528963
33,27,539231
34,27,549849
35,27,560325
36,27,570663
37,27,581024
38,27,591398
39,27,601886
40,27,612362
41,27,623052
42,27,633697
43,27,644088
44,27,654517
45,27,664949
46,27,675415
47,27,685731
48,27,696107
49,27,706327
50,27,716835
51,27,727078
52,27,737466
53,27,748014
54,27,758503
55,27,769316
56,27,779635
57,27,789938
58,27,800542
59,27,811005
60,27,821109
61,27,831841
62,27,842360
63,27,852447
64,27,862722
65,27,873285
66,27,883505
67,27,893667
68,27,903813
69,27,914042
70,27,924206
71,27,934356
72,27,944519
73,27,954663
74,27,965035
75,27,975427
76,27,985679
77,27,996296
78,28,6710
79,28,17162
80,28,27722
81,28,37877
82,28,48456
83,28,58707
84,28,68984
85,28,79424
86,28,89653
87,28,100291
88,28,110794
89,28,120956
90,28,131343
91,28,141478
92,28,151876
93,28,162020
94,28,172229
95,28,182500
96,28,192647
97,28,203187
98,28,213596
99,28,224414
100,28,234718
101,28,245190
102,28,255612
103,28,266122
104,28,276577
105,28,287556
106,28,297802
107,28,308059
108,28,318535
109,28,328758
110,28,338984
111,28,349284
112,28,359483
113,28,370056
114,28,380640
115,28,390767
116,28,401200
117,28,411704
118,28,422204
119,28,432569
120,28,443161
121,28,453601
122,28,464043
123,28,474399
124,28,484829
125,28,495128
126,28,505465
127,28,515954
128,28,526414
129,28,536867
130,28,547244
131,28,557421
132,28,567691
133,28,578174
134,28,588302
135,28,598871
136,28,609215
137,28,619826
138,28,630302
139,28,640681
140,28,650818
141,28,661082
142,28,671202
143,28,681753
144,28,692271
145,28,702982
146,28,713467
147,28,723617
148,28,734486
149,28,745080
150,28,755235
151,28,765372
152,28,775769
153,28,785879
154,28,796027
155,28,806152
156,28,816702
157,28,826997
158,28,837282
159,28,847827
160,28,858219
161,28,868626
162,28,879187
163,28,889346
164,28,899931
165,28,910147
166,28,920490
167,28,930880
168,28,941212
169,28,951385
170,28,961879
171,28,972417
172,28,982765
173,28,993252
174,29,3695
175,29,14176
176,29,24460
177,29,35025
178,29,45483
179,29,56123
180,29,66271
181,29,76790
182,29,87279
183,29,97700
184,29,107787
185,29,118166
186,29,128403
187,29,138498
188,29,148846
189,29,159179
190,29,169331
191,29,179951
192,29,190262
193,29,200515
194,29,210940
195,29,221199
196,29,231440
197,29,241588
198,29,251841
199,29,262279
200,29,272799
201,29,283324
202,29,293535
203,29,303667
204,29,313826
205,29,323961
206,29,334108
207,29,344997
208,29,355185
209,29,365859
210,29,376097
211,29,386419
212,29,396621
213,29,406768
214,29,416980
215,29,427340
216,29,437894
217,29,448206
218,29,458551
219,29,468747
220,29,479331
221,29,489599
222,29,499933
223,29,510306
224,29,520927
225,29,531473
226,29,541960
227,29,552591
228,29,562876
229,29,573502
230,29,584090
231,29,594505
232,29,604831
233,29,615524
234,29,625962
235,29,636622
236,29,647050
237,29,657307
238,29,667978
239,29,678405
240,29,688611
241,29,698861
242,29,709089
243,29,719293
244,29,729532
245,29,739747
246,29,749865
247,29,760103
248,29,770369
249,29,780766
250,29,790872
251,29,801283
252,29,811423
253,29,821575
254,29,831918
255,29,842473
256,29,852673
257,29,862775
258,29,873311
259,29,883507
260,29,893644
261,29,903781
262,29,913944
263,29,924099
264,29,934250
265,29,944423
266,29,954697
267,29,964963
268,29,975494
269,29,985691
270,29,996056
271,30,6323
272,30,16437
273,30,26783
274,30,37306
275,30,47508
276,30,57655
277,30,67816
278,30,78359
279,30,88515
280,30,98922
281,30,109440
282,30,119610
283,30,130226
284,30,140428
285,30,150594
286,30,160782
287,30,170931
288,30,181316
289,30,191476
290,30,202105
291,30,212630
292,30,222820
293,30,232956
294,30,243108
295,30,253205
296,30,263364
297,30,273900
298,30,284090
299,30,294231
300,30,304360
